movie_name,ranking,score,score_num
电锯惊魂,160,8.8,495970
三块广告牌,161,8.7,775665
达拉斯买家俱乐部,162,8.8,427266
你的名字。,163,8.5,1304084
惊魂记,164,9.0,264186
卢旺达饭店,165,8.9,307762
疯狂原始人,166,8.7,793998
上帝之城,167,9.0,285631
谍影重重3,168,8.8,394879
心迷宫,169,8.7,483043
英雄本色,170,8.6,500441
风之谷,171,8.9,337461
纵横四海,172,8.8,394523
色，戒,173,8.6,719318
海街日记,174,8.8,416533
岁月神偷,175,8.7,551872
记忆碎片,176,8.7,569214
茶馆,177,9.5,116923
爱在午夜降临前,178,8.9,365927
忠犬八公物语,179,9.2,181416
绿里奇迹,180,8.9,301566
荒蛮故事,181,8.8,414961
爆裂鼓手,182,8.7,546288
小偷家族,183,8.7,772355
贫民窟的百万富翁,184,8.6,709257
疯狂的石头,185,8.6,766783
无敌破坏王,186,8.7,502901
东邪西毒,187,8.6,544839
雨中曲,188,9.1,204712
真爱至上,189,8.6,685843
冰川时代,190,8.6,577807
恐怖游轮,191,8.5,793578
你看起来好像很好吃,192,8.9,314242
2001太空漫游,193,8.9,294383
黑天鹅,194,8.6,748254
无间道2,195,8.7,434944
魔女宅急便,196,8.7,429417
遗愿清单,197,8.7,416873
牯岭街少年杀人事件,198,8.9,270559
背靠背，脸对脸,199,9.5,112624
雨人,200,8.7,382128
小丑,201,8.7,944256
大佛普拉斯,202,8.7,416536
恋恋笔记本,203,8.6,629475
可可西里,204,8.9,283676
城市之光,205,9.3,134250
东京教父,206,9.0,200620
源代码,207,8.5,789353
萤火虫之墓,208,8.7,387659
初恋这件小事,209,8.5,938202
虎口脱险,210,8.9,237827
人工智能,211,8.7,417211
海边的曼彻斯特,212,8.6,479445
罗生门,213,8.8,293797
心灵奇旅,214,8.7,899064
青蛇,215,8.6,491177
波西米亚狂想曲,216,8.6,562602
终结者2：审判日,217,8.8,320883
疯狂的麦克斯4：狂暴之路,218,8.7,494003
新龙门客栈,219,8.7,415392
奇迹男孩,220,8.6,525875
二十二,221,8.7,279299
房间,222,8.8,353412
无耻混蛋,223,8.6,444546
千钧一发,224,8.8,271046
血钻,225,8.7,356152
崖上的波妞,226,8.6,453746
彗星来的那一夜,227,8.5,528716
黑客帝国2：重装上阵,228,8.7,382179
魂断蓝桥,229,8.8,260823
步履不停,230,8.8,260871
战争之王,231,8.7,342985
爱乐之城,232,8.4,823977
谍影重重2,233,8.7,331366
末路狂花,234,8.9,224039
燃情岁月,235,8.8,271339
火星救援,236,8.5,673875
千年女优,237,8.8,241015
阿飞正传,238,8.5,476199
再次出发之纽约遇见你,239,8.6,403796
谍影重重,240,8.6,398956
朗读者,241,8.6,434790
海洋,242,9.1,151685
花束般的恋爱,243,8.6,505023
香水,244,8.5,518293
穿越时空的少女,245,8.6,362334
地球上的星星,246,8.9,193617
我爱你,247,9.0,156262
完美陌生人,248,8.5,498974
弱点,249,8.7,275927
哈利·波特与死亡圣器(上),250,8.5,517855
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2707731
霸王别姬,2,9.6,2007217
阿甘正传,3,9.5,2032222
泰坦尼克号,4,9.4,1991830
这个杀手不太冷,5,9.4,2174591
美丽人生,6,9.6,1247686
千与千寻,7,9.4,2108523
辛德勒的名单,8,9.6,1041096
盗梦空间,9,9.4,1943911
星际穿越,10,9.4,1656003
忠犬八公的故事,11,9.4,1326009
楚门的世界,12,9.3,1568201
海上钢琴师,13,9.3,1583515
三傻大闹宝莱坞,14,9.2,1760014
机器人总动员,15,9.3,1244383
放牛班的春天,16,9.3,1227230
无间道,17,9.3,1262964
疯狂动物城,18,9.2,1790437
大话西游之大圣娶亲,19,9.2,1444842
熔炉,20,9.3,879453
控方证人,21,9.6,493557
教父,22,9.3,901394
当幸福来敲门,23,9.2,1434611
触不可及,24,9.3,1021876
怦然心动,25,9.1,1724328
龙猫,26,9.2,1191434
末代皇帝,27,9.3,811803
寻梦环游记,28,9.1,1547940
蝙蝠侠：黑暗骑士,29,9.2,994517
活着,30,9.3,782127
哈利·波特与魔法石,31,9.2,1093052
指环王3：王者无敌,32,9.3,753499
乱世佳人,33,9.3,648520
素媛,34,9.3,641333
飞屋环游记,35,9.1,1246780
我不是药神,36,9.0,1975708
摔跤吧！爸爸,37,9.0,1481225
何以为家,38,9.1,977394
十二怒汉,39,9.4,452141
哈尔的移动城堡,40,9.1,950044
少年派的奇幻漂流,41,9.1,1278835
鬼子来了,42,9.3,585503
猫鼠游戏,43,9.1,933163
大话西游之月光宝盒,44,9.0,1151275
让子弹飞,45,9.0,1586713
天空之城,46,9.1,772608
钢琴家,47,9.3,578398
指环王2：双塔奇兵,48,9.2,704402
闻香识女人,49,9.1,822323
海蒂和爷爷,50,9.3,531513
天堂电影院,51,9.2,645895
罗马假日,52,9.1,900377
指环王1：护戒使者,53,9.1,794928
黑客帝国,54,9.1,789480
大闹天宫,55,9.4,402452
死亡诗社,56,9.1,666851
教父2,57,9.3,511970
绿皮书,58,8.9,1526676
狮子王,59,9.1,784102
辩护人,60,9.2,557829
搏击俱乐部,61,9.0,798265
饮食男女,62,9.2,575842
美丽心灵,63,9.1,723117
本杰明·巴顿奇事,64,9.0,926749
穿条纹睡衣的男孩,65,9.2,519057
窃听风暴,66,9.2,530537
情书,67,8.9,1025002
两杆大烟枪,68,9.1,562852
西西里的美丽传说,69,8.9,918026
看不见的客人,70,8.8,1173699
音乐之声,71,9.1,563626
拯救大兵瑞恩,72,9.1,608688
飞越疯人院,73,9.1,520646
小鞋子,74,9.2,384183
阿凡达,75,8.8,1300861
哈利·波特与死亡圣器(下),76,9.0,769670
沉默的羔羊,77,8.9,826959
致命魔术,78,8.9,806992
禁闭岛,79,8.9,908640
布达佩斯大饭店,80,8.9,862821
海豚湾,81,9.3,343156
蝴蝶效应,82,8.9,879632
美国往事,83,9.2,388246
心灵捕手,84,8.9,665185
低俗小说,85,8.9,781449
春光乍泄,86,9.0,591483
摩登时代,87,9.3,279601
喜剧之王,88,8.8,907290
功夫,89,8.8,1027854
七宗罪,90,8.8,895113
哈利·波特与阿兹卡班的囚徒,91,8.9,661000
超脱,92,9.0,531563
致命ID,93,8.8,765565
杀人回忆,94,8.9,658658
红辣椒,95,9.1,423944
加勒比海盗,96,8.8,808896
被嫌弃的松子的一生,97,8.9,669153
狩猎,98,9.1,361787
7号房的礼物,99,8.9,520546
请以你的名字呼唤我,100,8.9,671994
剪刀手爱德华,101,8.7,989475
断背山,102,8.8,671898
唐伯虎点秋香,103,8.7,1005668
哈利·波特与密室,104,8.8,687310
勇敢的心,105,8.9,536628
一一,106,9.1,355752
入殓师,107,8.9,626121
第六感,108,8.9,522215
爱在黎明破晓前,109,8.8,626223
重庆森林,110,8.8,757352
蝙蝠侠：黑暗骑士崛起,111,8.8,677422
天使爱美丽,112,8.7,922359
幽灵公主,113,8.9,493397
菊次郎的夏天,114,8.9,556860
小森林 夏秋篇,115,9.0,401394
阳光灿烂的日子,116,8.9,579798
超能陆战队,117,8.7,948981
完美的世界,118,9.1,291841
爱在日落黄昏时,119,8.9,515605
无人知晓,120,9.1,295961
消失的爱人,121,8.7,871970
甜蜜蜜,122,8.9,497983
借东西的小人阿莉埃蒂,123,8.9,516366
倩女幽魂,124,8.8,688850
小森林 冬春篇,125,9.0,357658
侧耳倾听,126,8.9,433229
时空恋旅人,127,8.8,612008
幸福终点站,128,8.8,529419
驯龙高手,129,8.8,711747
萤火之森,130,8.9,497951
教父3,131,9.0,345616
寄生虫,132,8.8,1287966
怪兽电力公司,133,8.8,624490
一个叫欧维的男人决定去死,134,8.9,431997
玛丽和马克思,135,8.9,404863
玩具总动员3,136,8.9,480167
未麻的部屋,137,9.1,300652
傲慢与偏见,138,8.7,742253
神偷奶爸,139,8.6,896354
大鱼,140,8.8,538232
告白,141,8.8,640410
釜山行,142,8.6,1122206
被解救的姜戈,143,8.8,570636
哈利·波特与火焰杯,144,8.7,598789
阳光姐妹淘,145,8.8,566748
射雕英雄传之东成西就,146,8.7,596968
哪吒闹海,147,9.1,240770
新世界,148,8.9,383875
我是山姆,149,9.0,316518
恐怖直播,150,8.7,613453
头号玩家,151,8.7,1286678
血战钢锯岭,152,8.7,743072
模仿游戏,153,8.8,604588
喜宴,154,9.0,331528
七武士,155,9.3,183722
花样年华,156,8.7,559828
头脑特工队,157,8.8,568561
黑客帝国3：矩阵革命,158,8.8,421829
九品芝麻官,159,8.7,617602
电锯惊魂,160,8.8,495972
三块广告牌,161,8.7,775665
达拉斯买家俱乐部,162,8.8,427267
你的名字。,163,8.5,1304084
惊魂记,164,9.0,264186
卢旺达饭店,165,8.9,307762
疯狂原始人,166,8.7,793999
上帝之城,167,9.0,285633
谍影重重3,168,8.8,394880
心迷宫,169,8.7,483043
英雄本色,170,8.6,500442
